comparison,model_id,seed,task,n,ours_accuracy,other_accuracy,delta_accuracy,ci95_low,ci95_high,significant,bootstrap_samples
Ours-Basis Sharing,3b_20,44,hellaswag,10042,0.9451304521011751,0.8061143198566023,0.1390161322445728,0.13144791874128658,0.1466864170483967,True,10000
Ours-Basis Sharing,3b_20,44,openbookqa,500,0.842,0.678,0.164,0.122,0.206,True,10000
Ours-Basis Sharing,3b_20,44,piqa,1838,0.8612622415669206,0.750272034820457,0.11099020674646355,0.09031556039173014,0.13166485310119697,True,10000
Ours-Basis Sharing,3b_20,44,social_i_qa,1954,0.808085977482088,0.7343909928352098,0.0736949846468782,0.054759467758444216,0.0931422722620266,True,10000
Ours-Basis Sharing,3b_20,44,winogrande,1267,0.856353591160221,0.7087608524072613,0.14759273875295975,0.12312549329123915,0.17205998421468036,True,10000
Ours-Basis Sharing,3b_20,44,macro,19149,0.8494724611604649,0.7037039937735841,0.1457684673868808,0.13626884877204506,0.15532507139300114,True,10000
Ours-Basis Sharing,3b_25,42,ARC-Challenge,1172,0.7482935153583617,0.49402730375426623,0.25426621160409557,0.22184300341296928,0.2858361774744027,True,10000
Ours-Basis Sharing,3b_25,42,ARC-Easy,2376,0.875,0.6675084175084175,0.2074915824915825,0.1885416666666667,0.22685185185185186,True,10000
Ours-Basis Sharing,3b_25,42,hellaswag,10042,0.9352718581955786,0.7769368651663016,0.15833499302927703,0.1503684524995021,0.16650069707229637,True,10000
Ours-Basis Sharing,3b_25,42,openbookqa,500,0.842,0.638,0.204,0.162,0.246,True,10000
Ours-Basis Sharing,3b_25,42,piqa,1838,0.8525571273122959,0.7029379760609358,0.14961915125136016,0.1267682263329706,0.17247007616974971,True,10000
Ours-Basis Sharing,3b_25,42,social_i_qa,1954,0.7871033776867963,0.7128966223132037,0.07420675537359263,0.054759467758444216,0.0931422722620266,True,10000
Ours-Basis Sharing,3b_25,42,winogrande,1267,0.8421468034727704,0.6850828729281768,0.15706393054459353,0.13101815311760062,0.18389897395422258,True,10000
Ours-Basis Sharing,3b_25,42,macro,19149,0.8403389545751149,0.6681985796759002,0.1721403748992145,0.16230134892604733,0.18181320171189,True,10000
Ours-Basis Sharing,3b_25,43,ARC-Challenge,1172,0.757679180887372,0.49146757679180886,0.26621160409556316,0.23378839590443687,0.2977815699658703,True,10000
Ours-Basis Sharing,3b_25,43,ARC-Easy,2376,0.875,0.6531986531986532,0.2218013468013468,0.20117845117845118,0.242003367003367,True,10000
Ours-Basis Sharing,3b_25,43,hellaswag,10042,0.9344752041426011,0.7498506273650667,0.18462457677753435,0.17616012746464849,0.19308902609042022,True,10000
Ours-Basis Sharing,3b_25,43,openbookqa,500,0.832,0.624,0.208,0.164,0.252,True,10000
Ours-Basis Sharing,3b_25,43,piqa,1838,0.8482045701849836,0.7127312295973884,0.13547334058759522,0.11316648531011969,0.15832426550598477,True,10000
Ours-Basis Sharing,3b_25,43,social_i_qa,1954,0.7942681678607983,0.7082906857727738,0.08597748208802457,0.06653019447287616,0.10542476970317298,True,10000
Ours-Basis Sharing,3b_25,43,winogrande,1267,0.8374112075769534,0.6937647987371744,0.143646408839779,0.11838989739542226,0.1696921862667719,True,10000
Ours-Basis Sharing,3b_25,43,macro,19149,0.8398626186646725,0.6619005102089809,0.17796210845569188,0.16789770796718548,0.18797530668870033,True,10000
Ours-Basis Sharing,3b_25,44,ARC-Challenge,1172,0.7517064846416383,0.5017064846416383,0.25,0.21843003412969283,0.28071672354948807,True,10000
Ours-Basis Sharing,3b_25,44,ARC-Easy,2376,0.8674242424242424,0.6767676767676768,0.19065656565656566,0.1712962962962963,0.21001683501683502,True,10000
Ours-Basis Sharing,3b_25,44,hellaswag,10042,0.9351722764389564,0.7738498307110138,0.16132244572794263,0.15315674168492333,0.16948814977096197,True,10000
Ours-Basis Sharing,3b_25,44,openbookqa,500,0.824,0.638,0.186,0.144,0.228,True,10000
Ours-Basis Sharing,3b_25,44,piqa,1838,0.8579978237214363,0.7149075081610446,0.14309031556039173,0.12078346028291621,0.16539717083786726,True,10000
Ours-Basis Sharing,3b_25,44,social_i_qa,1954,0.8029682702149437,0.714431934493347,0.08853633572159672,0.06908904810644831,0.10849539406345957,True,10000
Ours-Basis Sharing,3b_25,44,winogrande,1267,0.8602999210734017,0.6858721389108129,0.17442778216258878,0.14917127071823205,0.20047355958958168,True,10000
Ours-Basis Sharing,3b_25,44,macro,19149,0.842795574073517,0.672219367669362,0.17057620640415508,0.16033910008307667,0.180341516172065,True,10000
Ours-Basis Sharing,8b_15,42,ARC-Challenge,1172,0.787542662116041,0.658703071672355,0.128839590443686,0.09982935153583618,0.15870307167235495,True,10000
Ours-Basis Sharing,8b_15,42,ARC-Easy,2376,0.9095117845117845,0.8101851851851852,0.09932659932659933,0.08333333333333333,0.11574074074074074,True,10000
Ours-Basis Sharing,8b_15,42,hellaswag,10042,0.9475204142601076,0.8909579764987055,0.05656243776140211,0.05058504282015535,0.06263692491535551,True,10000
Ours-Basis Sharing,8b_15,42,openbookqa,500,0.838,0.75,0.088,0.05,0.126,True,10000
Ours-Basis Sharing,8b_15,42,piqa,1838,0.8639825897714908,0.7965179542981502,0.06746463547334058,0.04842219804134929,0.08650707290533188,True,10000
Ours-Basis Sharing,8b_15,42,social_i_qa,1954,0.7952917093142272,0.7697031729785057,0.0255885363357216,0.007676560900716479,0.042988741044012284,True,10000
Ours-Basis Sharing,8b_15,42,winogrande,1267,0.8650355169692187,0.8042620363062352,0.06077348066298342,0.04025256511444357,0.08129439621152329,True,10000
Ours-Basis Sharing,8b_15,42,macro,19149,0.8581263824204098,0.7829041995627338,0.07522218285767615,0.06655979838957794,0.08394742868046584,True,10000
Ours-Basis Sharing,8b_15,43,ARC-Challenge,1172,0.8037542662116041,0.6774744027303754,0.12627986348122866,0.09897610921501707,0.15358361774744028,True,10000
Ours-Basis Sharing,8b_15,43,ARC-Easy,2376,0.8973063973063973,0.7941919191919192,0.10311447811447812,0.08712121212121213,0.11994949494949494,True,10000
Ours-Basis Sharing,8b_15,43,hellaswag,10042,0.9477195777733519,0.8847839075881299,0.06293567018522207,0.05656243776140211,0.06910973909579765,True,10000
Ours-Basis Sharing,8b_15,43,openbookqa,500,0.83,0.752,0.078,0.038,0.118,True,10000
Ours-Basis Sharing,8b_15,43,piqa,1838,0.8705114254624592,0.8025027203482046,0.06800870511425462,0.04951033732317737,0.08596300326441784,True,10000
Ours-Basis Sharing,8b_15,43,social_i_qa,1954,0.812691914022518,0.7666325486182191,0.04605936540429888,0.02712384851586489,0.06550665301944729,True,10000
Ours-Basis Sharing,8b_15,43,winogrande,1267,0.8689818468823993,0.7837411207576953,0.08524072612470403,0.06393054459352802,0.10655090765588003,True,10000
Ours-Basis Sharing,8b_15,43,macro,19149,0.861566489665533,0.7801895170335061,0.08137697263202662,0.07246124046043004,0.09036013786667567,True,10000
Ours-Basis Sharing,8b_15,44,ARC-Challenge,1172,0.7918088737201365,0.6501706484641638,0.1416382252559727,0.11348122866894197,0.17064846416382254,True,10000
Ours-Basis Sharing,8b_15,44,ARC-Easy,2376,0.9010942760942761,0.7946127946127947,0.10648148148148148,0.09090909090909091,0.12247474747474747,True,10000
Ours-Basis Sharing,8b_15,44,hellaswag,10042,0.9525990838478391,0.8760207130053774,0.07657837084246166,0.0702051384186417,0.08295160326628162,True,10000
Ours-Basis Sharing,8b_15,44,openbookqa,500,0.872,0.74,0.132,0.092,0.172,True,10000
