comparison,model_id,seed,task,n,ours_accuracy,other_accuracy,delta_accuracy,ci95_low,ci95_high,significant,bootstrap_samples
Ours-SVD-LLM,3b_20,43,macro,19149,0.850820220827804,0.6954460158946637,0.15537420493314036,0.14569846904351508,0.1650301472299708,True,10000
Ours-SVD-LLM,3b_20,44,ARC-Challenge,1172,0.7542662116040956,0.5409556313993175,0.21331058020477817,0.18344709897610922,0.2431740614334471,True,10000
Ours-SVD-LLM,3b_20,44,ARC-Easy,2376,0.8792087542087542,0.6936026936026936,0.1856060606060606,0.1670875420875421,0.20454545454545456,True,10000
Ours-SVD-LLM,3b_20,44,hellaswag,10042,0.9451304521011751,0.8106950806612229,0.1344353714399522,0.1269667396932882,0.1421031666998606,True,10000
Ours-SVD-LLM,3b_20,44,openbookqa,500,0.842,0.658,0.184,0.144,0.224,True,10000
Ours-SVD-LLM,3b_20,44,piqa,1838,0.8612622415669206,0.7323177366702938,0.12894450489662676,0.10772578890097932,0.14961915125136016,True,10000
Ours-SVD-LLM,3b_20,44,social_i_qa,1954,0.808085977482088,0.72978505629478,0.07830092118730808,0.0593654042988741,0.09825997952917093,True,10000
Ours-SVD-LLM,3b_20,44,winogrande,1267,0.856353591160221,0.7269139700078927,0.12943962115232832,0.10418310970797158,0.15469613259668508,True,10000
Ours-SVD-LLM,3b_20,44,macro,19149,0.8494724611604649,0.6988957383766,0.15057672278386489,0.14113350406437425,0.1602537405090776,True,10000
Ours-SVD-LLM,3b_25,42,ARC-Challenge,1172,0.7482935153583617,0.49829351535836175,0.25,0.2175767918088737,0.28242320819112626,True,10000
Ours-SVD-LLM,3b_25,42,ARC-Easy,2376,0.875,0.6464646464646465,0.22853535353535354,0.20833333333333334,0.24915824915824916,True,10000
Ours-SVD-LLM,3b_25,42,hellaswag,10042,0.9352718581955786,0.754829715196176,0.1804421429994025,0.1720772754431388,0.188707428799044,True,10000
Ours-SVD-LLM,3b_25,42,openbookqa,500,0.842,0.64,0.202,0.158,0.246,True,10000
Ours-SVD-LLM,3b_25,42,piqa,1838,0.8525571273122959,0.705114254624592,0.14744287268770404,0.1251360174102285,0.1692056583242655,True,10000
Ours-SVD-LLM,3b_25,42,social_i_qa,1954,0.7871033776867963,0.7113613101330604,0.07574206755373593,0.05578300921187308,0.09570112589559877,True,10000
Ours-SVD-LLM,3b_25,42,winogrande,1267,0.8421468034727704,0.681136543014996,0.16101026045777428,0.13496448303078137,0.18705603788476716,True,10000
Ours-SVD-LLM,3b_25,42,macro,19149,0.8403389545751149,0.6624571406845475,0.17788181389056718,0.167675865353688,0.1879879279631518,True,10000
Ours-SVD-LLM,3b_25,43,ARC-Challenge,1172,0.757679180887372,0.5204778156996587,0.23720136518771331,0.20392491467576793,0.2696245733788396,True,10000
Ours-SVD-LLM,3b_25,43,ARC-Easy,2376,0.875,0.6456228956228957,0.22937710437710437,0.20958543771043772,0.24957912457912457,True,10000
Ours-SVD-LLM,3b_25,43,hellaswag,10042,0.9344752041426011,0.7552280422226648,0.17924716191993625,0.17078271260705039,0.18771161123282215,True,10000
Ours-SVD-LLM,3b_25,43,openbookqa,500,0.832,0.644,0.188,0.144,0.232,True,10000
Ours-SVD-LLM,3b_25,43,piqa,1838,0.8482045701849836,0.6871599564744287,0.16104461371055495,0.13928182807399347,0.18280739934711643,True,10000
Ours-SVD-LLM,3b_25,43,social_i_qa,1954,0.7942681678607983,0.7277379733879222,0.06653019447287616,0.04708290685772774,0.08546571136131013,True,10000
Ours-SVD-LLM,3b_25,43,winogrande,1267,0.8374112075769534,0.6937647987371744,0.143646408839779,0.11838989739542226,0.16890292028413575,True,10000
Ours-SVD-LLM,3b_25,43,macro,19149,0.8398626186646725,0.6677130688778207,0.172149549786852,0.1620907926900605,0.18220103789115008,True,10000
Ours-SVD-LLM,3b_25,44,ARC-Challenge,1172,0.7517064846416383,0.514505119453925,0.23720136518771331,0.20477815699658702,0.2687713310580205,True,10000
Ours-SVD-LLM,3b_25,44,ARC-Easy,2376,0.8674242424242424,0.6531986531986532,0.21422558922558924,0.19444444444444445,0.2335858585858586,True,10000
Ours-SVD-LLM,3b_25,44,hellaswag,10042,0.9351722764389564,0.7491535550687114,0.18601872137024497,0.17765385381398127,0.19438358892650867,True,10000
Ours-SVD-LLM,3b_25,44,openbookqa,500,0.824,0.582,0.242,0.198,0.286,True,10000
Ours-SVD-LLM,3b_25,44,piqa,1838,0.8579978237214363,0.7078346028291621,0.1501632208922742,0.12840043525571274,0.17301414581066377,True,10000
Ours-SVD-LLM,3b_25,44,social_i_qa,1954,0.8029682702149437,0.7041965199590583,0.09877175025588536,0.07932446264073695,0.11821903787103377,True,10000
Ours-SVD-LLM,3b_25,44,winogrande,1267,0.8602999210734017,0.659037095501184,0.20126282557221783,0.17521704814522493,0.2280978689818469,True,10000
Ours-SVD-LLM,3b_25,44,macro,19149,0.842795574073517,0.6528465065729563,0.18994906750056068,0.17991083184516513,0.20001412740536342,True,10000
Ours-SVD-LLM,8b_15,42,ARC-Challenge,1172,0.787542662116041,0.6467576791808873,0.1407849829351536,0.11177474402730375,0.1697952218430034,True,10000
Ours-SVD-LLM,8b_15,42,ARC-Easy,2376,0.9095117845117845,0.7895622895622896,0.11994949494949494,0.1026936026936027,0.13720538720538722,True,10000
Ours-SVD-LLM,8b_15,42,hellaswag,10042,0.9475204142601076,0.866759609639514,0.08076080462059351,0.07438757219677355,0.08743278231428002,True,10000
Ours-SVD-LLM,8b_15,42,openbookqa,500,0.838,0.73,0.108,0.066,0.15,True,10000
Ours-SVD-LLM,8b_15,42,piqa,1838,0.8639825897714908,0.780739934711643,0.08324265505984767,0.06420021762785637,0.10282916213275299,True,10000
Ours-SVD-LLM,8b_15,42,social_i_qa,1954,0.7952917093142272,0.759467758444217,0.03582395087001024,0.017400204708290685,0.054759467758444216,True,10000
Ours-SVD-LLM,8b_15,42,winogrande,1267,0.8650355169692187,0.7861089187056038,0.07892659826361484,0.055248618784530384,0.10102604577742699,True,10000
Ours-SVD-LLM,8b_15,42,macro,19149,0.8581263824204098,0.7656280271777363,0.09249835524267354,0.08333768463663206,0.10187366238699429,True,10000
Ours-SVD-LLM,8b_15,43,ARC-Challenge,1172,0.8037542662116041,0.6552901023890785,0.14846416382252559,0.12030716723549488,0.1766211604095563,True,10000
Ours-SVD-LLM,8b_15,43,ARC-Easy,2376,0.8973063973063973,0.7845117845117845,0.1127946127946128,0.09638047138047139,0.12920875420875422,True,10000
Ours-SVD-LLM,8b_15,43,hellaswag,10042,0.9477195777733519,0.8690499900418244,0.07866958773152759,0.07219677355108545,0.08544114718183629,True,10000
Ours-SVD-LLM,8b_15,43,openbookqa,500,0.83,0.732,0.098,0.06,0.138,True,10000
Ours-SVD-LLM,8b_15,43,piqa,1838,0.8705114254624592,0.7758433079434167,0.09466811751904244,0.0750816104461371,0.11371055495103373,True,10000
Ours-SVD-LLM,8b_15,43,social_i_qa,1954,0.812691914022518,0.7640736949846468,0.04861821903787104,0.02917093142272262,0.06755373592630501,True,10000
Ours-SVD-LLM,8b_15,43,winogrande,1267,0.8689818468823993,0.7861089187056038,0.08287292817679558,0.06077348066298342,0.10497237569060773,True,10000
Ours-SVD-LLM,8b_15,43,macro,19149,0.861566489665533,0.7666968283680505,0.09486966129748216,0.08586995044235486,0.10396692850492245,True,10000
Ours-SVD-LLM,8b_15,44,ARC-Challenge,1172,0.7918088737201365,0.6450511945392492,0.14675767918088736,0.11860068259385666,0.17491467576791808,True,10000
Ours-SVD-LLM,8b_15,44,ARC-Easy,2376,0.9010942760942761,0.7984006734006734,0.1026936026936027,0.08627946127946128,0.1191077441077441,True,10000
Ours-SVD-LLM,8b_15,44,hellaswag,10042,0.9525990838478391,0.8689504082852022,0.08364867556263693,0.07717586138219479,0.09002190798645689,True,10000
Ours-SVD-LLM,8b_15,44,openbookqa,500,0.872,0.73,0.142,0.106,0.18,True,10000
Ours-SVD-LLM,8b_15,44,piqa,1838,0.8743199129488575,0.7747551686615887,0.09956474428726877,0.07997823721436344,0.11969532100108814,True,10000
Ours-SVD-LLM,8b_15,44,social_i_qa,1954,0.7968270214943706,0.755885363357216,0.04094165813715456,0.02301688843398159,0.0593654042988741,True,10000
Ours-SVD-LLM,8b_15,44,winogrande,1267,0.8650355169692187,0.7845303867403315,0.08050513022888714,0.05761641673243883,0.10339384372533544,True,10000
Ours-SVD-LLM,8b_15,44,macro,19149,0.864812097867814,0.7653675992834659,0.09944449858434821,0.09077088737099942,0.10826125035490593,True,10000
Ours-SVD-LLM,8b_20,42,ARC-Challenge,1172,0.787542662116041,0.6049488054607508,0.1825938566552901,0.15358361774744028,0.21245733788395904,True,10000
Ours-SVD-LLM,8b_20,42,ARC-Easy,2376,0.8943602693602694,0.7550505050505051,0.1393097643097643,0.12163299663299663,0.15698653198653198,True,10000
Ours-SVD-LLM,8b_20,42,hellaswag,10042,0.9454291973710416,0.8424616610237005,0.10296753634734117,0.09599681338378808,0.11013742282413862,True,10000
Ours-SVD-LLM,8b_20,42,openbookqa,500,0.848,0.728,0.12,0.078,0.162,True,10000
Ours-SVD-LLM,8b_20,42,piqa,1838,0.8618063112078346,0.7616974972796517,0.10010881392818281,0.0794341675734494,0.12078346028291621,True,10000
Ours-SVD-LLM,8b_20,42,social_i_qa,1954,0.7942681678607983,0.744114636642784,0.05015353121801433,0.031218014329580348,0.06908904810644831,True,10000
Ours-SVD-LLM,8b_20,42,winogrande,1267,0.8610891870560379,0.7624309392265194,0.09865824782951854,0.07419100236779795,0.12312549329123915,True,10000
Ours-SVD-LLM,8b_20,42,macro,19149,0.856070827853146,0.7426720063834159,0.1133988214697302,0.10389795537800049,0.12279843121337818,True,10000
Ours-SVD-LLM,8b_20,43,ARC-Challenge,1172,0.7858361774744027,0.6143344709897611,0.17150170648464164,0.1416382252559727,0.20136518771331058,True,10000
Ours-SVD-LLM,8b_20,43,ARC-Easy,2376,0.8918350168350169,0.752104377104377,0.13973063973063973,0.12247474747474747,0.15698653198653198,True,10000
Ours-SVD-LLM,8b_20,43,hellaswag,10042,0.9475204142601076,0.8349930292770364,0.1125273849830711,0.10525791674965146,0.11979685321649074,True,10000
Ours-SVD-LLM,8b_20,43,openbookqa,500,0.874,0.712,0.162,0.12,0.204,True,10000
Ours-SVD-LLM,8b_20,43,piqa,1838,0.8715995647442872,0.7573449401523396,0.11425462459194777,0.09357997823721437,0.13492927094668117,True,10000
Ours-SVD-LLM,8b_20,43,social_i_qa,1954,0.8024564994882293,0.7446264073694985,0.05783009211873081,0.038894575230296824,0.0767656090071648,True,10000
Ours-SVD-LLM,8b_20,43,winogrande,1267,0.8626677190213102,0.7797947908445146,0.08287292817679558,0.05919494869771113,0.10655090765588003,True,10000
Ours-SVD-LLM,8b_20,43,macro,19149,0.8622736274033362,0.7421711451053609,0.12010248229797525,0.1105041334605726,0.12940358875199492,True,10000
Ours-SVD-LLM,8b_20,44,ARC-Challenge,1172,0.7798634812286689,0.6023890784982935,0.17747440273037543,0.1493174061433447,0.20648464163822525,True,10000
Ours-SVD-LLM,8b_20,44,ARC-Easy,2376,0.8960437710437711,0.7470538720538721,0.14898989898989898,0.13131313131313133,0.16666666666666666,True,10000
Ours-SVD-LLM,8b_20,44,hellaswag,10042,0.9487153953395738,0.8292172873929496,0.11949810794662417,0.11222863971320454,0.1267675761800438,True,10000
Ours-SVD-LLM,8b_20,44,openbookqa,500,0.868,0.72,0.148,0.106,0.19,True,10000
Ours-SVD-LLM,8b_20,44,piqa,1838,0.8726877040261154,0.7568008705114254,0.11588683351468988,0.0957562568008705,0.1365614798694233,True,10000
Ours-SVD-LLM,8b_20,44,social_i_qa,1954,0.8009211873080859,0.7374616171954964,0.06345957011258956,0.044012282497441144,0.0834186284544524,True,10000
Ours-SVD-LLM,8b_20,44,winogrande,1267,0.8555643251775849,0.7679558011049724,0.08760852407261246,0.06393054459352802,0.11128650355169692,True,10000
Ours-SVD-LLM,8b_20,44,macro,19149,0.8602565520176857,0.7372683609652871,0.12298819105239864,0.11365457090029456,0.1322649170459177,True,10000
Ours-SVD-LLM,8b_25,42,ARC-Challenge,1172,0.7670648464163823,0.5588737201365188,0.20819112627986347,0.17747440273037543,0.23890784982935154,True,10000
Ours-SVD-LLM,8b_25,42,ARC-Easy,2376,0.8956228956228957,0.6965488215488216,0.19907407407407407,0.17971380471380471,0.21885521885521886,True,10000
Ours-SVD-LLM,8b_25,42,hellaswag,10042,0.9416450906193985,0.800637323242382,0.14100776737701654,0.1330412268472416,0.14897430790679148,True,10000
Ours-SVD-LLM,8b_25,42,openbookqa,500,0.84,0.664,0.176,0.13,0.222,True,10000
Ours-SVD-LLM,8b_25,42,piqa,1838,0.8628944504896626,0.7377584330794341,0.1251360174102285,0.10391730141458107,0.14635473340587596,True,10000
Ours-SVD-LLM,8b_25,42,social_i_qa,1954,0.8162743091095189,0.7169907881269192,0.0992835209825998,0.07932446264073695,0.11924257932446264,True,10000
Ours-SVD-LLM,8b_25,42,winogrande,1267,0.8674033149171271,0.7292817679558011,0.13812154696132597,0.11207576953433307,0.164956590370955,True,10000
Ours-SVD-LLM,8b_25,42,macro,19149,0.8558435581678551,0.7005844077271253,0.15525915044072974,0.14529226735088724,0.16541046250655045,True,10000
Ours-SVD-LLM,8b_25,43,ARC-Challenge,1172,0.7952218430034129,0.5614334470989761,0.23378839590443687,0.2030716723549488,0.2645051194539249,True,10000
Ours-SVD-LLM,8b_25,43,ARC-Easy,2376,0.8956228956228957,0.7167508417508418,0.17887205387205388,0.15993265993265993,0.1973905723905724,True,10000
Ours-SVD-LLM,8b_25,43,hellaswag,10042,0.9455287791276639,0.7925712009559849,0.15295757817167896,0.14479187412865963,0.1609241187014539,True,10000
Ours-SVD-LLM,8b_25,43,openbookqa,500,0.842,0.66,0.182,0.14,0.226,True,10000
Ours-SVD-LLM,8b_25,43,piqa,1838,0.8726877040261154,0.733949945593036,0.13873775843307942,0.117519042437432,0.15995647442872687,True,10000
Ours-SVD-LLM,8b_25,43,social_i_qa,1954,0.8029682702149437,0.7210849539406345,0.08188331627430911,0.06038894575230297,0.10286591606960081,True,10000
Ours-SVD-LLM,8b_25,43,winogrande,1267,0.8579321231254933,0.712707182320442,0.1452249408050513,0.11838989739542226,0.17207971586424597,True,10000
Ours-SVD-LLM,8b_25,43,macro,19149,0.8588516593029321,0.699785367379988,0.15906629192294422,0.14930036923402712,0.16903886559763937,True,10000
Ours-SVD-LLM,8b_25,44,ARC-Challenge,1172,0.7986348122866894,0.5554607508532423,0.2431740614334471,0.21245733788395904,0.27474402730375425,True,10000
Ours-SVD-LLM,8b_25,44,ARC-Easy,2376,0.8918350168350169,0.7117003367003367,0.18013468013468015,0.1611952861952862,0.19907407407407407,True,10000
Ours-SVD-LLM,8b_25,44,hellaswag,10042,0.9451304521011751,0.7911770563632743,0.15395339573790082,0.1457876916948815,0.16191993626767576,True,10000
Ours-SVD-LLM,8b_25,44,openbookqa,500,0.862,0.676,0.186,0.142,0.232,True,10000
Ours-SVD-LLM,8b_25,44,piqa,1838,0.8710554951033732,0.7388465723612623,0.132208922742111,0.11099020674646355,0.15397170837867247,True,10000
Ours-SVD-LLM,8b_25,44,social_i_qa,1954,0.7988741044012283,0.7349027635619243,0.06397134083930399,0.044012282497441144,0.08444216990788127,True,10000
Ours-SVD-LLM,8b_25,44,winogrande,1267,0.8721389108129439,0.7213891081294396,0.15074980268350435,0.12626282557221785,0.17600631412786108,True,10000
Ours-SVD-LLM,8b_25,44,macro,19149,0.8628098273629181,0.7042109411384972,0.15859888622442103,0.1487039260074435,0.16873594325404256,True,10000
