method,model_id,regime,seed,precision,artifact_path,serialization_format,artifact_bytes,artifact_sha256,compressed_bf16_standalone_bytes,dense_8b_teacher_bytes,dense_8b_teacher_sha256,reduction_vs_compressed_bf16_pct,reduction_vs_dense_8b_teacher_pct
Basis Sharing,8b_15,CE+KD,44,BF16,not_redistributed/basis_sharing_8b15_cekd_s44_bf16.pt,"torch.save(state_dict), BF16 weight-only",13651664196,53605556f3f93cb73e8706bed9e6127c913b9ac2f0fc2a780e71b9b9a8ce9f9f,13651664196,16060643284,93c3d08914a1b81856ac94fb07138bba7ecbd5d9946d9704456d995004fcfdd5,0.0,14.999268991920655
Basis Sharing,8b_15,CE+KD,44,W8A16,not_redistributed/basis_sharing_8b15_cekd_s44_w8a16.pt,weight-only torch.save; actual packed INT tensors and FP16 scales,7880327115,03c7181ec7d493aba1c2c0a38cb8885489048bd3a1e07f14d8fef5f6d2cd4f5a,13651664196,16060643284,93c3d08914a1b81856ac94fb07138bba7ecbd5d9946d9704456d995004fcfdd5,42.27570351965607,50.93392602243665
Basis Sharing,8b_15,CE+KD,44,W4A16,not_redistributed/basis_sharing_8b15_cekd_s44_w4a16.pt,weight-only torch.save; actual packed INT tensors and FP16 scales,5144379319,da9c93e6fedeaaeff44fedb36f716ee1fbfd7c15e41fcdb00e4b991d5d384dd4,13651664196,16060643284,93c3d08914a1b81856ac94fb07138bba7ecbd5d9946d9704456d995004fcfdd5,62.31683371975025,67.96903319479766
SVD-LLM,8b_15,CE+KD,44,BF16,not_redistributed/svd_llm_8b15_cekd_s44_bf16.pt,"torch.save(state_dict), BF16 weight-only",13651678274,95d8e7fce1abce4931fcf9e9fc9129f9982ec4f98e342533a7ef0aabfa994b18,13651678274,16060643284,93c3d08914a1b81856ac94fb07138bba7ecbd5d9946d9704456d995004fcfdd5,0.0,14.999181336652123
SVD-LLM,8b_15,CE+KD,44,W8A16,not_redistributed/svd_llm_8b15_cekd_s44_w8a16.pt,weight-only torch.save; actual packed INT tensors and FP16 scales,7880565485,7a0009ad6693b78c05ec79905bf582b68878538c850f6f5239204619cf4770a3,13651678274,16060643284,93c3d08914a1b81856ac94fb07138bba7ecbd5d9946d9704456d995004fcfdd5,42.27401696091274,50.93244183531049
SVD-LLM,8b_15,CE+KD,44,W4A16,not_redistributed/svd_llm_8b15_cekd_s44_w4a16.pt,weight-only torch.save; actual packed INT tensors and FP16 scales,5124303477,7fa6c8c7b8009256e6717c9a84e7e42bb1303cf4162ba620e103a3693ee427b9,13651678274,16060643284,93c3d08914a1b81856ac94fb07138bba7ecbd5d9946d9704456d995004fcfdd5,62.46393026446149,68.09403343074712
