method,precision,scope,examples,accuracy
Basis Sharing,BF16,ARC_C,1172,0.6484641638225256
Basis Sharing,BF16,ARC_E,2376,0.7933501683501684
Basis Sharing,BF16,HellaSwag,10042,0.8763194582752439
Basis Sharing,BF16,OpenBookQA,500,0.734
Basis Sharing,BF16,PIQA,1838,0.7834602829162133
Basis Sharing,BF16,SocialIQA,1954,0.7732855680655066
Basis Sharing,BF16,WinoGrande,1267,0.7924230465666929
Basis Sharing,BF16,Macro,19149,0.7716146697137644
Basis Sharing,W8A16,ARC_C,1172,0.6484641638225256
Basis Sharing,W8A16,ARC_E,2376,0.7946127946127947
Basis Sharing,W8A16,HellaSwag,10042,0.877414857598088
Basis Sharing,W8A16,OpenBookQA,500,0.738
Basis Sharing,W8A16,PIQA,1838,0.7823721436343852
Basis Sharing,W8A16,SocialIQA,1954,0.77021494370522
Basis Sharing,W8A16,WinoGrande,1267,0.7987371744277821
Basis Sharing,W8A16,Macro,19149,0.7728308682572566
Basis Sharing,W4A16,ARC_C,1172,0.25597269624573377
Basis Sharing,W4A16,ARC_E,2376,0.29924242424242425
Basis Sharing,W4A16,HellaSwag,10042,0.3123879705238
Basis Sharing,W4A16,OpenBookQA,500,0.284
Basis Sharing,W4A16,PIQA,1838,0.5168661588683352
Basis Sharing,W4A16,SocialIQA,1954,0.38945752302968273
Basis Sharing,W4A16,WinoGrande,1267,0.5074980268350434
Basis Sharing,W4A16,Macro,19149,0.3664892571064314
SVD-LLM,BF16,ARC_C,1172,0.64419795221843
SVD-LLM,BF16,ARC_E,2376,0.7975589225589226
SVD-LLM,BF16,HellaSwag,10042,0.8690499900418244
SVD-LLM,BF16,OpenBookQA,500,0.732
SVD-LLM,BF16,PIQA,1838,0.7747551686615887
SVD-LLM,BF16,SocialIQA,1954,0.7563971340839304
SVD-LLM,BF16,WinoGrande,1267,0.7845303867403315
SVD-LLM,BF16,Macro,19149,0.765498507757861
SVD-LLM,W8A16,ARC_C,1172,0.6459044368600683
SVD-LLM,W8A16,ARC_E,2376,0.7937710437710438
SVD-LLM,W8A16,HellaSwag,10042,0.8682533359888468
SVD-LLM,W8A16,OpenBookQA,500,0.738
SVD-LLM,W8A16,PIQA,1838,0.7752992383025027
SVD-LLM,W8A16,SocialIQA,1954,0.7553735926305015
SVD-LLM,W8A16,WinoGrande,1267,0.7821625887924231
SVD-LLM,W8A16,Macro,19149,0.7655377480493408
SVD-LLM,W4A16,ARC_C,1172,0.5
SVD-LLM,W4A16,ARC_E,2376,0.678030303030303
SVD-LLM,W4A16,HellaSwag,10042,0.667396932881896
SVD-LLM,W4A16,OpenBookQA,500,0.612
SVD-LLM,W4A16,PIQA,1838,0.7067464635473341
SVD-LLM,W4A16,SocialIQA,1954,0.6755373592630501
SVD-LLM,W4A16,WinoGrande,1267,0.6835043409629045
SVD-LLM,W4A16,Macro,19149,0.6461736285264983
