method,comparison,scope,examples,difference,difference_pp,ci95_low,ci95_high,ci95_low_pp,ci95_high_pp,n_bootstrap
Basis Sharing,W8A16 - BF16,ARC_C,1172,0.0,0.0,-0.006825938566552901,0.006825938566552901,-0.6825938566552902,0.6825938566552902,10000
Basis Sharing,W8A16 - BF16,ARC_E,2376,0.0012626262626262627,0.12626262626262627,-0.003367003367003367,0.006313131313131313,-0.33670033670033667,0.6313131313131313,10000
Basis Sharing,W8A16 - BF16,HellaSwag,10042,0.001095399322844055,0.1095399322844055,-0.0006970722963553077,0.0028878709420434175,-0.06970722963553076,0.28878709420434173,10000
Basis Sharing,W8A16 - BF16,OpenBookQA,500,0.004,0.4,-0.008,0.016,-0.8,1.6,10000
Basis Sharing,W8A16 - BF16,PIQA,1838,-0.001088139281828074,-0.1088139281828074,-0.006528835690968444,0.003808487486398259,-0.6528835690968444,0.38084874863982593,10000
Basis Sharing,W8A16 - BF16,SocialIQA,1954,-0.0030706243602865915,-0.3070624360286591,-0.006653019447287615,0.0005117707267144319,-0.6653019447287616,0.0511770726714432,10000
Basis Sharing,W8A16 - BF16,WinoGrande,1267,0.006314127861089187,0.6314127861089187,0.0015785319652722968,0.011838989739542225,0.15785319652722968,1.1838989739542225,10000
Basis Sharing,W8A16 - BF16,Macro,19149,0.00121619854349212,0.12161985434921199,-0.0010983649980952808,0.0035613330513531837,-0.10983649980952807,0.3561333051353184,10000
Basis Sharing,W4A16 - BF16,ARC_C,1172,-0.3924914675767918,-39.249146757679185,-0.42918088737201365,-0.35665529010238906,-42.918088737201366,-35.665529010238906,10000
Basis Sharing,W4A16 - BF16,ARC_E,2376,-0.4941077441077441,-49.41077441077441,-0.5180976430976431,-0.47053872053872053,-51.809764309764304,-47.053872053872055,10000
Basis Sharing,W4A16 - BF16,HellaSwag,10042,-0.563931487751444,-56.3931487751444,-0.5747883887671779,-0.5525791674965146,-57.47883887671779,-55.25791674965146,10000
Basis Sharing,W4A16 - BF16,OpenBookQA,500,-0.45,-45.0,-0.504,-0.396,-50.4,-39.6,10000
Basis Sharing,W4A16 - BF16,PIQA,1838,-0.26659412404787813,-26.659412404787812,-0.29651795429815014,-0.23612622415669204,-29.651795429815014,-23.612622415669204,10000
Basis Sharing,W4A16 - BF16,SocialIQA,1954,-0.38382804503582396,-38.3828045035824,-0.4109518935516888,-0.35670419651995905,-41.095189355168884,-35.67041965199591,10000
Basis Sharing,W4A16 - BF16,WinoGrande,1267,-0.2849250197316496,-28.49250197316496,-0.3212312549329124,-0.24780978689818497,-32.12312549329124,-24.780978689818497,10000
Basis Sharing,W4A16 - BF16,Macro,19149,-0.40512541260733304,-40.5125412607333,-0.41776949195804164,-0.39264890008319786,-41.776949195804164,-39.26489000831979,10000
SVD-LLM,W8A16 - BF16,ARC_C,1172,0.0017064846416382253,0.17064846416382254,-0.006825938566552901,0.010238907849829351,-0.6825938566552902,1.023890784982935,10000
SVD-LLM,W8A16 - BF16,ARC_E,2376,-0.003787878787878788,-0.3787878787878788,-0.008417508417508417,0.00042087542087542086,-0.8417508417508417,0.04208754208754208,10000
SVD-LLM,W8A16 - BF16,HellaSwag,10042,-0.0007966540529774945,-0.07966540529774944,-0.003186616211909978,0.001593308105954989,-0.3186616211909978,0.1593308105954989,10000
SVD-LLM,W8A16 - BF16,OpenBookQA,500,0.006,0.6,-0.004,0.016,-0.4,1.6,10000
SVD-LLM,W8A16 - BF16,PIQA,1838,0.000544069640914037,0.0544069640914037,-0.005984766050054407,0.007072905331882481,-0.5984766050054406,0.7072905331882481,10000
SVD-LLM,W8A16 - BF16,SocialIQA,1954,-0.0010235414534288639,-0.1023541453428864,-0.006653019447287615,0.004605936540429887,-0.6653019447287616,0.46059365404298874,10000
SVD-LLM,W8A16 - BF16,WinoGrande,1267,-0.0023677979479084454,-0.23677979479084454,-0.010260457774269928,0.0055248618784530384,-1.0260457774269929,0.5524861878453038,10000
SVD-LLM,W8A16 - BF16,Macro,19149,3.924029147981013e-05,0.003924029147981013,-0.0025840478229460996,0.002691355548515729,-0.25840478229460995,0.26913555485157287,10000
SVD-LLM,W4A16 - BF16,ARC_C,1172,-0.14419795221843004,-14.419795221843005,-0.17320819112627986,-0.11518771331058021,-17.320819112627987,-11.518771331058021,10000
SVD-LLM,W4A16 - BF16,ARC_E,2376,-0.11952861952861953,-11.952861952861953,-0.13762626262626262,-0.10185185185185185,-13.762626262626263,-10.185185185185185,10000
SVD-LLM,W4A16 - BF16,HellaSwag,10042,-0.2016530571599283,-20.16530571599283,-0.21101374228241387,-0.19239195379406493,-21.101374228241387,-19.239195379406492,10000
SVD-LLM,W4A16 - BF16,OpenBookQA,500,-0.12,-12.0,-0.16,-0.08,-16.0,-8.0,10000
SVD-LLM,W4A16 - BF16,PIQA,1838,-0.06800870511425462,-6.800870511425463,-0.088139281828074,-0.04787812840043525,-8.8139281828074,-4.787812840043525,10000
SVD-LLM,W4A16 - BF16,SocialIQA,1954,-0.08085977482088025,-8.085977482088024,-0.1008188331627431,-0.06141248720573183,-10.08188331627431,-6.1412487205731825,10000
SVD-LLM,W4A16 - BF16,WinoGrande,1267,-0.10102604577742699,-10.1026045777427,-0.12628255722178375,-0.07576953433307025,-12.628255722178375,-7.576953433307025,10000
SVD-LLM,W4A16 - BF16,Macro,19149,-0.11932487923136281,-11.932487923136282,-0.1288092236996039,-0.10986137950480959,-12.880922369960391,-10.986137950480959,10000
