backbone,reference_type,macro,PIQA,SocialIQA,WinoGrande,ARC_C,ARC_E,HellaSwag,OpenBookQA
Llama-3.2-3B,pretrained,0.3688440751216181,0.5114254624591947,0.33265097236438074,0.49171270718232046,0.3003412969283277,0.39604377104377103,0.253734315873332,0.296
Llama-3.2-3B,task_trained_teacher,0.8230056583903543,0.8509249183895539,0.7911975435005117,0.813733228097869,0.7244027303754266,0.8463804713804713,0.9284007169886477,0.806
Llama-3.1-8B,pretrained,0.46712709712823575,0.6289445048966268,0.3541453428863869,0.4964483030781373,0.48208191126279865,0.6127946127946128,0.3154750049790878,0.38
Llama-3.1-8B,task_trained_teacher,0.8685074463947823,0.8939064200217628,0.7983623336745138,0.8610891870560379,0.7901023890784983,0.9158249158249159,0.9602668791077474,0.86
