backbone,nominal_target,actual_compression,Pure_macro,CE_mean,CE_sd,CEKD_mean,CEKD_sd,dense_teacher_macro,CEKD_teacher_retention,KD_gain_pp,sd_reduction,CEKD_15_macro,CEKD_25_macro,CEKD_drop_15_to_25_pp
Llama-3.2-3B,15,13.9527269958,0.33207202701570926,0.8535274701893294,0.001679127326862351,0.8482918238847924,0.004457006890123404,0.8230056583903543,1.03072416967812,-0.005235646304536989,-0.002777879563261053,0.8482918238847924,0.8409990491044347,0.007292774780357725
Llama-3.2-3B,20,20.9290909294,0.33946485890052297,0.8506828873580601,0.005432651890413281,0.8505081502410105,0.0009202346568139234,0.8230056583903543,1.0334171358000694,-0.00017473711704962813,0.004512417233599357,0.8482918238847924,0.8409990491044347,0.007292774780357725
Llama-3.2-3B,25,25.5800002185,0.33769234988640306,0.8460106442859117,0.00119112570821055,0.8409990491044347,0.0015739601164883375,0.8230056583903543,1.0218630218767537,-0.00501159518147698,-0.00038283440827778753,0.8482918238847924,0.8409990491044347,0.007292774780357725
Llama-3.1-8B,15,14.9381305907,0.36267826963415145,0.8553729878971486,0.003295170765128119,0.8615016566512523,0.0033433292166222795,0.8685074463947823,0.991933529444553,0.006128668754103783,-4.81584514941606e-05,0.8615016566512523,0.8591683482779017,0.002333308373350662
Llama-3.1-8B,20,19.3255536784,0.3364934302763761,0.6803833743634881,0.17016448182608285,0.8595336690913894,0.0031639532801240413,0.8685074463947823,0.9896675873757405,0.17915029472790134,0.16700052854595882,0.8615016566512523,0.8591683482779017,0.002333308373350662
Llama-3.1-8B,25,25.90668831,0.3405347648485854,0.8166980810321502,0.05959728500591956,0.8591683482779017,0.0034939155047985877,0.8685074463947823,0.9892469567697459,0.042470267245751425,0.05610336950112098,0.8615016566512523,0.8591683482779017,0.002333308373350662
