backbone,nominal_target,actual_compression,Delta_max,delta_max,dense_nll,compressed_nll,joint_delta_nll,joint_kl,C_joint,dense_macro,Pure_macro,Pure_drop,joint_tokens,joint_blocks
Llama-3.2-3B,15,13.9527269958,0.46222844906151295,0.3752640765160322,1.31689453125,9.953125,8.63623046875,8.705321490764618,17.341551959514618,0.3688440751216181,0.33207202701570926,0.03677204810590884,4088,8
Llama-3.2-3B,20,20.9290909294,0.6695501133799553,0.4701670687645674,1.31689453125,16.671875,15.35498046875,15.418559908866882,30.773540377616882,0.3688440751216181,0.33946485890052297,0.029379216221095128,4088,8
Llama-3.2-3B,25,25.5800002185,0.6695501133799553,0.5193697083741426,1.31689453125,17.96875,16.65185546875,16.741530179977417,33.39338564872742,0.3688440751216181,0.33769234988640306,0.031151725235215033,4088,8
Llama-3.1-8B,15,14.9381305907,0.48740509897470474,0.22850245237350464,1.4267578125,12.28125,10.8544921875,10.956003904342651,21.81049609184265,0.46712709712823575,0.36267826963415145,0.1044488274940843,4088,8
Llama-3.1-8B,20,19.3255536784,0.9718241058290005,0.4024750180542469,1.4267578125,14.640625,13.2138671875,13.341725945472717,26.555593132972717,0.46712709712823575,0.3364934302763761,0.13063366685185962,4088,8
Llama-3.1-8B,25,25.90668831,0.9718241058290005,0.4024750180542469,1.4267578125,22.375,20.9482421875,21.092565774917603,42.0408079624176,0.46712709712823575,0.3405347648485854,0.12659233227965033,4088,8
