backbone,target,regime,seed,task,accuracy
Llama-3.2-3B,20,CE+KD,42,ARC_E,0.8846801346801347
Llama-3.2-3B,20,CE+KD,42,HellaSwag,0.9441346345349532
Llama-3.2-3B,20,CE+KD,42,OpenBookQA,0.844
Llama-3.2-3B,20,CE+KD,43,PIQA,0.8618063112078346
Llama-3.2-3B,20,CE+KD,43,SocialIQA,0.7983623336745138
Llama-3.2-3B,20,CE+KD,43,WinoGrande,0.8468823993685872
Llama-3.2-3B,20,CE+KD,43,ARC_C,0.7704778156996587
Llama-3.2-3B,20,CE+KD,43,ARC_E,0.8884680134680135
Llama-3.2-3B,20,CE+KD,43,HellaSwag,0.9417446723760207
Llama-3.2-3B,20,CE+KD,43,OpenBookQA,0.848
Llama-3.2-3B,20,CE+KD,44,PIQA,0.8612622415669206
Llama-3.2-3B,20,CE+KD,44,SocialIQA,0.808085977482088
Llama-3.2-3B,20,CE+KD,44,WinoGrande,0.856353591160221
Llama-3.2-3B,20,CE+KD,44,ARC_C,0.7542662116040956
Llama-3.2-3B,20,CE+KD,44,ARC_E,0.8792087542087542
Llama-3.2-3B,20,CE+KD,44,HellaSwag,0.9451304521011751
Llama-3.2-3B,20,CE+KD,44,OpenBookQA,0.842
Llama-3.2-3B,25,Pure,NA,PIQA,0.4885745375408052
Llama-3.2-3B,25,Pure,NA,SocialIQA,0.32753326509723646
Llama-3.2-3B,25,Pure,NA,WinoGrande,0.5130228887134964
Llama-3.2-3B,25,Pure,NA,ARC_C,0.25426621160409557
Llama-3.2-3B,25,Pure,NA,ARC_E,0.2601010101010101
Llama-3.2-3B,25,Pure,NA,HellaSwag,0.25034853614817765
Llama-3.2-3B,25,Pure,NA,OpenBookQA,0.27
Llama-3.2-3B,25,CE,42,PIQA,0.8465723612622416
Llama-3.2-3B,25,CE,42,SocialIQA,0.804503582395087
Llama-3.2-3B,25,CE,42,WinoGrande,0.8453038674033149
Llama-3.2-3B,25,CE,42,ARC_C,0.7585324232081911
Llama-3.2-3B,25,CE,42,ARC_E,0.8817340067340067
Llama-3.2-3B,25,CE,42,HellaSwag,0.9390559649472217
Llama-3.2-3B,25,CE,42,OpenBookQA,0.856
Llama-3.2-3B,25,CE,43,PIQA,0.8563656147986942
Llama-3.2-3B,25,CE,43,SocialIQA,0.808085977482088
Llama-3.2-3B,25,CE,43,WinoGrande,0.8421468034727704
Llama-3.2-3B,25,CE,43,ARC_C,0.765358361774744
Llama-3.2-3B,25,CE,43,ARC_E,0.8825757575757576
Llama-3.2-3B,25,CE,43,HellaSwag,0.9387572196773551
Llama-3.2-3B,25,CE,43,OpenBookQA,0.824
Llama-3.2-3B,25,CE,44,PIQA,0.8569096844396082
Llama-3.2-3B,25,CE,44,SocialIQA,0.7968270214943706
Llama-3.2-3B,25,CE,44,WinoGrande,0.8531965272296764
Llama-3.2-3B,25,CE,44,ARC_C,0.757679180887372
Llama-3.2-3B,25,CE,44,ARC_E,0.8825757575757576
Llama-3.2-3B,25,CE,44,HellaSwag,0.9420434176458873
Llama-3.2-3B,25,CE,44,OpenBookQA,0.828
Llama-3.2-3B,25,CE+KD,42,PIQA,0.8525571273122959
Llama-3.2-3B,25,CE+KD,42,SocialIQA,0.7871033776867963
Llama-3.2-3B,25,CE+KD,42,WinoGrande,0.8421468034727704
Llama-3.2-3B,25,CE+KD,42,ARC_C,0.7482935153583617
Llama-3.2-3B,25,CE+KD,42,ARC_E,0.875
Llama-3.2-3B,25,CE+KD,42,HellaSwag,0.9352718581955786
Llama-3.2-3B,25,CE+KD,42,OpenBookQA,0.842
Llama-3.2-3B,25,CE+KD,43,PIQA,0.8482045701849836
Llama-3.2-3B,25,CE+KD,43,SocialIQA,0.7942681678607983
Llama-3.2-3B,25,CE+KD,43,WinoGrande,0.8374112075769534
Llama-3.2-3B,25,CE+KD,43,ARC_C,0.757679180887372
Llama-3.2-3B,25,CE+KD,43,ARC_E,0.875
Llama-3.2-3B,25,CE+KD,43,HellaSwag,0.9344752041426011
Llama-3.2-3B,25,CE+KD,43,OpenBookQA,0.832
Llama-3.2-3B,25,CE+KD,44,PIQA,0.8579978237214363
Llama-3.2-3B,25,CE+KD,44,SocialIQA,0.8029682702149437
Llama-3.2-3B,25,CE+KD,44,WinoGrande,0.8602999210734017
Llama-3.2-3B,25,CE+KD,44,ARC_C,0.7517064846416383
Llama-3.2-3B,25,CE+KD,44,ARC_E,0.8674242424242424
Llama-3.2-3B,25,CE+KD,44,HellaSwag,0.9351722764389564
Llama-3.2-3B,25,CE+KD,44,OpenBookQA,0.824
Llama-3.1-8B,15,Pure,NA,PIQA,0.5429815016322089
Llama-3.1-8B,15,Pure,NA,SocialIQA,0.33623336745138177
Llama-3.1-8B,15,Pure,NA,WinoGrande,0.5043409629044988
Llama-3.1-8B,15,Pure,NA,ARC_C,0.2815699658703072
Llama-3.1-8B,15,Pure,NA,ARC_E,0.3291245791245791
Llama-3.1-8B,15,Pure,NA,HellaSwag,0.26249751045608444
Llama-3.1-8B,15,Pure,NA,OpenBookQA,0.282
Llama-3.1-8B,15,CE,42,PIQA,0.8596300326441785
Llama-3.1-8B,15,CE,42,SocialIQA,0.7860798362333674
Llama-3.1-8B,15,CE,42,WinoGrande,0.8539857932123125
Llama-3.1-8B,15,CE,42,ARC_C,0.7935153583617748
Llama-3.1-8B,15,CE,42,ARC_E,0.9065656565656566
Llama-3.1-8B,15,CE,42,HellaSwag,0.9396534554869548
Llama-3.1-8B,15,CE,42,OpenBookQA,0.838
Llama-3.1-8B,15,CE,43,PIQA,0.8585418933623504
Llama-3.1-8B,15,CE,43,SocialIQA,0.7886386898669396
Llama-3.1-8B,15,CE,43,WinoGrande,0.8453038674033149
Llama-3.1-8B,15,CE,43,ARC_C,0.8020477815699659
Llama-3.1-8B,15,CE,43,ARC_E,0.8968855218855218
Llama-3.1-8B,15,CE,43,HellaSwag,0.9359689304919339
Llama-3.1-8B,15,CE,43,OpenBookQA,0.844
Llama-3.1-8B,15,CE,44,PIQA,0.8623503808487486
Llama-3.1-8B,15,CE,44,SocialIQA,0.7922210849539406
Llama-3.1-8B,15,CE,44,WinoGrande,0.8650355169692187
Llama-3.1-8B,15,CE,44,ARC_C,0.7901023890784983
Llama-3.1-8B,15,CE,44,ARC_E,0.9027777777777778
Llama-3.1-8B,15,CE,44,HellaSwag,0.9455287791276639
Llama-3.1-8B,15,CE,44,OpenBookQA,0.856
Llama-3.1-8B,15,CE+KD,42,PIQA,0.8639825897714908
Llama-3.1-8B,15,CE+KD,42,SocialIQA,0.7952917093142272
Llama-3.1-8B,15,CE+KD,42,WinoGrande,0.8650355169692187
Llama-3.1-8B,15,CE+KD,42,ARC_C,0.787542662116041
Llama-3.1-8B,15,CE+KD,42,ARC_E,0.9095117845117845
Llama-3.1-8B,15,CE+KD,42,HellaSwag,0.9475204142601076
Llama-3.1-8B,15,CE+KD,42,OpenBookQA,0.838
Llama-3.1-8B,15,CE+KD,43,PIQA,0.8705114254624592
Llama-3.1-8B,15,CE+KD,43,SocialIQA,0.812691914022518
Llama-3.1-8B,15,CE+KD,43,WinoGrande,0.8689818468823993
Llama-3.1-8B,15,CE+KD,43,ARC_C,0.8037542662116041
Llama-3.1-8B,15,CE+KD,43,ARC_E,0.8973063973063973
Llama-3.1-8B,15,CE+KD,43,HellaSwag,0.9477195777733519
Llama-3.1-8B,15,CE+KD,43,OpenBookQA,0.83
Llama-3.1-8B,15,CE+KD,44,PIQA,0.8743199129488575
Llama-3.1-8B,15,CE+KD,44,SocialIQA,0.7968270214943706
Llama-3.1-8B,15,CE+KD,44,WinoGrande,0.8650355169692187
Llama-3.1-8B,15,CE+KD,44,ARC_C,0.7918088737201365
Llama-3.1-8B,15,CE+KD,44,ARC_E,0.9010942760942761
Llama-3.1-8B,15,CE+KD,44,HellaSwag,0.9525990838478391
Llama-3.1-8B,15,CE+KD,44,OpenBookQA,0.872
Llama-3.1-8B,20,Pure,NA,PIQA,0.5048966267682263
Llama-3.1-8B,20,Pure,NA,SocialIQA,0.33623336745138177
Llama-3.1-8B,20,Pure,NA,WinoGrande,0.5043409629044988
Llama-3.1-8B,20,Pure,NA,ARC_C,0.2593856655290102
Llama-3.1-8B,20,Pure,NA,ARC_E,0.24705387205387205
Llama-3.1-8B,20,Pure,NA,HellaSwag,0.2515435172276439
Llama-3.1-8B,20,Pure,NA,OpenBookQA,0.252
Llama-3.1-8B,20,CE,42,PIQA,0.49782372143634385
Llama-3.1-8B,20,CE,42,SocialIQA,0.33469805527123847
Llama-3.1-8B,20,CE,42,WinoGrande,0.8587213891081295
Llama-3.1-8B,20,CE,42,ARC_C,0.26535836177474403
Llama-3.1-8B,20,CE,42,ARC_E,0.24663299663299662
Llama-3.1-8B,20,CE,42,HellaSwag,0.9281019717187812
Llama-3.1-8B,20,CE,42,OpenBookQA,0.256
Llama-3.1-8B,20,CE,43,PIQA,0.8346028291621328
Llama-3.1-8B,20,CE,43,SocialIQA,0.72517911975435
Llama-3.1-8B,20,CE,43,WinoGrande,0.7229676400947119
Llama-3.1-8B,20,CE,43,ARC_C,0.7380546075085325
Llama-3.1-8B,20,CE,43,ARC_E,0.8808922558922558
Llama-3.1-8B,20,CE,43,HellaSwag,0.8611830312686716
Llama-3.1-8B,20,CE,43,OpenBookQA,0.7
Llama-3.1-8B,20,CE,44,PIQA,0.8215451577801959
Llama-3.1-8B,20,CE,44,SocialIQA,0.6970317297850563
Llama-3.1-8B,20,CE,44,WinoGrande,0.6606156274664562
Llama-3.1-8B,20,CE,44,ARC_C,0.7457337883959044
Llama-3.1-8B,20,CE,44,ARC_E,0.8905723905723906
