backbone,donor,target,delta_nll,kl,C_forward
Llama-3.2-3B,2,26,0.13818359375,0.14473845437169075,0.28292204812169075
Llama-3.2-3B,13,26,0.13037109375,0.15343131590634584,0.28380240965634584
Llama-3.2-3B,5,26,0.138671875,0.14604211691766977,0.2847139919176698
Llama-3.2-3B,5,9,0.1328125,0.15268937405198812,0.2855018740519881
Llama-3.2-3B,1,25,0.1591796875,0.12667590007185936,0.28585558757185936
Llama-3.2-3B,10,8,0.1318359375,0.1541319042444229,0.2859678417444229
Llama-3.2-3B,18,22,0.1376953125,0.14850332029163837,0.2861986327916384
Llama-3.2-3B,2,9,0.134765625,0.15145020093768835,0.28621582593768835
Llama-3.2-3B,2,21,0.1396484375,0.14764822460711002,0.28729666210711
Llama-3.2-3B,6,26,0.14306640625,0.14567301608622074,0.28873942233622074
Llama-3.2-3B,3,8,0.12939453125,0.15957052912563086,0.28896506037563086
Llama-3.2-3B,3,20,0.13623046875,0.15440507233142853,0.29063554108142853
Llama-3.2-3B,6,20,0.134765625,0.15628314018249512,0.2910487651824951
Llama-3.2-3B,9,26,0.14453125,0.14695583004504442,0.2914870800450444
Llama-3.2-3B,1,9,0.1396484375,0.15185209922492504,0.29150053672492504
Llama-3.2-3B,13,25,0.1513671875,0.14034490939229727,0.29171209689229727
Llama-3.2-3B,21,22,0.13720703125,0.15453860443085432,0.2917456356808543
Llama-3.2-3B,20,22,0.142578125,0.14948113821446896,0.29205926321446896
Llama-3.2-3B,2,25,0.16650390625,0.12595341447740793,0.29245732072740793
Llama-3.2-3B,25,23,0.125,0.1675562597811222,0.2925562597811222
Llama-3.2-3B,0,25,0.16796875,0.1246454743668437,0.2926142243668437
Llama-3.2-3B,2,24,0.13134765625,0.16142606362700462,0.2927737198770046
Llama-3.2-3B,1,24,0.1298828125,0.16365122236311436,0.29353403486311436
Llama-3.2-3B,1,20,0.138671875,0.15592390298843384,0.29459577798843384
Llama-3.2-3B,10,21,0.1416015625,0.15559830330312252,0.2971998658031225
Llama-3.2-3B,10,25,0.16455078125,0.13272564113140106,0.29727642238140106
