variant,backbone,target,actual_compression,Delta_max,delta_max,C_joint,Pure_macro,CE_macro,CEKD_macro,recovery_seed,status,equivalent_to
full_method,Llama-3.2-3B,20,20.9290909294,0.6695501133799553,0.4701670687645674,30.773540377616882,0.33946485890052297,0.8491144956523852,0.8512317687347625,42,OBSERVED,NA
no_directional_cost,Llama-3.2-3B,20,20.9290909294,0.6695501133799553,0.4701670687645674,34.04653358459473,0.3320545798512794,NA,0.8329195175036282,42,OBSERVED,NA
no_envelope_mean,Llama-3.2-3B,20,20.9290909294,0.6695501133799553,0.4701670687645674,30.773540377616882,0.33946485890052297,0.8491144956523852,0.8512317687347625,42,STRUCTURALLY_EQUIVALENT_REUSED,full_method
single_link,Llama-3.2-3B,20,20.9290909294,0.6695501133799553,0.4701670687645674,30.773540377616882,0.33946485890052297,0.8491144956523852,0.8512317687347625,42,STRUCTURALLY_EQUIVALENT_REUSED,full_method
symmetric_representative,Llama-3.2-3B,20,20.9290909294,0.6695501133799553,0.4701670687645674,87.70658159255981,0.34749326940343783,NA,0.8005840306721614,42,OBSERVED,NA
